av_pred_class,av_training_set,kepid,spline_bkspace,tce_depth,tce_duration,tce_impact,tce_max_mult_ev,tce_model_snr,tce_period,tce_plnt_num,tce_prad,tce_time0bk
PC,PC,11716643,2.8697266578674316,2444.0,0.37708333134651184,0.5568000078201294,42.810001373291016,40.650001525878906,466.00299072265625,1,4.474999904632568,434.9989929199219
AFP,AFP,10669199,0.5,25.200000762939453,0.09608333557844162,0.901199996471405,8.52299976348877,10.289999961853027,1.1828700304031372,2,0.8436999917030334,132.60499572753906
AFP,AFP,6364200,20.0,71.83000183105469,0.3919999897480011,0.04351000115275383,8.91100025177002,7.679999828338623,5.244070053100586,1,0.7825000286102295,132.68299865722656
NTP,NTP,9025557,0.5,9.151000022888184,0.4508333206176758,0.7394999861717224,8.204999923706055,3.9739999771118164,2.3987200260162354,1,1.1089999675750732,133.56399536132812
NTP,NTP,3553413,1.9462679624557495,211.1999969482422,0.3125,0.10000000149011612,7.539999961853027,-1.0,2.0208899974823,2,1.5609999895095825,132.02200317382812
AFP,AFP,10264728,0.5,2.4100000858306885,0.07783333212137222,0.8949999809265137,12.84000015258789,0.09114000201225281,0.566627025604248,3,0.445499986410141,131.57000732421875
PC,PC,6382217,2.3633148670196533,744.0,0.0975833311676979,0.8508999943733215,24.350000381469727,26.09000015258789,8.41100025177002,1,1.7000000476837158,133.80099487304688
AFP,AFP,3965879,20.0,78.83999633789062,0.7037500143051147,0.005940000060945749,8.78499984741211,11.5,5.734580039978027,2,1.0759999752044678,135.11599731445312
AFP,AFP,9579818,20.0,133.6999969482422,0.06587500125169754,0.061879999935626984,13.800000190734863,16.260000228881836,0.7306680083274841,1,2.990000009536743,131.5500030517578
AFP,AFP,7220320,0.5,27240.0,0.06650000065565109,0.8999999761581421,919.0,499.5,0.7521430253982544,1,49.97999954223633,131.81199645996094
AFP,AFP,5179609,2.3633148670196533,9324.0,0.5383333563804626,0.8598999977111816,670.5,671.2999877929688,43.93109893798828,1,73.33999633789062,134.21400451660156
AFP,AFP,6591789,0.6071401238441467,401600.0,0.1993333399295807,0.47350001335144043,15620.0,9556.0,5.088409900665283,1,56.0,134.35499572753906
AFP,AFP,8488876,0.5,103.0999984741211,0.5141666531562805,0.19949999451637268,16.780000686645508,19.09000015258789,5.802299976348877,3,3.1019999980926514,136.447998046875
AFP,AFP,7974634,0.5,39.119998931884766,0.3529999852180481,0.34139999747276306,13.380000114440918,11.069999694824219,2.748029947280884,1,0.7922999858856201,132.35000610351562
NTP,NTP,9092897,20.0,47.720001220703125,0.08775000274181366,0.9837999939918518,7.38700008392334,7.63100004196167,3.9169199466705322,1,2.6670000553131104,132.21299743652344
AFP,AFP,3246890,0.5,44.02000045776367,0.09537500143051147,0.1753000020980835,12.09000015258789,13.140000343322754,3.312269926071167,3,1.149999976158142,134.34300231933594
AFP,AFP,10783150,0.5,248.1999969482422,0.21112500131130219,0.5,9.029000282287598,6.070000171661377,1.7509499788284302,2,3.819000005722046,133.17300415039062
PC,PC,11401767,16.470661163330078,225.39999389648438,0.3565416634082794,0.9715999960899353,15.25,15.359999656677246,30.090900421142578,2,2.247999906539917,149.05299377441406
PC,PC,11709124,2.8697266578674316,222.10000610351562,0.12137500196695328,0.5153999924659729,22.75,25.809999465942383,3.9327499866485596,3,1.4830000400543213,134.6529998779297
AFP,AFP,10549292,20.0,18.09000015258789,0.10729166865348816,0.8294000029563904,10.609999656677246,9.342000007629395,0.8460609912872314,2,1.125,132.48699951171875
AFP,AFP,8260198,7.575917720794678,606.2000122070312,0.046291667968034744,0.902899980545044,36.380001068115234,48.65999984741211,0.9552900195121765,1,2.186000108718872,132.1820068359375
AFP,AFP,3836450,1.319972038269043,55.15999984741211,0.07000000029802322,0.6643000245094299,14.15999984741211,14.770000457763672,1.5403599739074707,1,0.6154999732971191,132.00599670410156
AFP,AFP,12207117,0.5,1828.0,0.030895832926034927,0.1005999967455864,67.33000183105469,102.4000015258789,1.6031800508499146,1,2.990000009536743,131.56500244140625
AFP,AFP,5174920,4.231344699859619,7.71999979019165,0.11291666328907013,0.5479999780654907,9.456999778747559,11.09000015258789,0.9504780173301697,1,0.9804999828338623,131.7530059814453
AFP,AFP,3838496,1.087040662765503,315000.0,0.2083333283662796,0.10000000149011612,1530.0,-1.0,2.990269899368286,1,54.02000045776367,133.1009979248047
NTP,NTP,10619192,0.7372382879257202,628.7000122070312,0.2607083320617676,0.7310000061988831,12.619999885559082,4.385000228881836,470.56500244140625,2,2.753999948501587,290.5509948730469
AFP,AFP,8560804,2.3633148670196533,108.5999984741211,0.4097916781902313,0.07806000113487244,19.639999389648438,18.899999618530273,31.973499298095703,1,1.0789999961853027,133.86099243164062
AFP,AFP,9340980,5.138038635253906,4.283999919891357,0.06829166412353516,0.8942999839782715,13.039999961853027,1.1629999876022339,0.5365020036697388,1,0.2402999997138977,132.0590057373047
AFP,AFP,10959320,0.5,55.2599983215332,0.11537499725818634,0.5231999754905701,13.970000267028809,16.5,2.445539951324463,4,2.940000057220459,131.6529998779297
AFP,AFP,12062667,0.5,255.0,0.17291666567325592,0.5109000205993652,77.1500015258789,62.900001525878906,2.9293599128723145,1,2.065999984741211,133.70399475097656
NTP,NTP,8586745,0.5,46.619998931884766,0.17395833134651184,0.022630000486969948,11.289999961853027,10.920000076293945,1.439579963684082,1,1.6380000114440918,132.1739959716797
AFP,AFP,5217910,0.8952139616012573,140.8000030517578,0.5987499952316284,0.5806000232696533,13.869999885559082,17.540000915527344,3.5546600818634033,2,1.3370000123977661,133.51499938964844
NTP,NTP,10553884,0.5,50.220001220703125,0.2045833319425583,8.109000191325322e-05,7.177999973297119,7.820000171661377,1.3390599489212036,2,1.3389999866485596,131.90199279785156
PC,PC,6020753,2.8697266578674316,809.2999877929688,0.12141666561365128,0.48660001158714294,49.84000015258789,53.529998779296875,16.282499313354492,2,1.9980000257492065,131.95199584960938
PC,PC,7017274,0.5,118.69999694824219,0.24679166078567505,0.4986000061035156,15.489999771118164,16.760000228881836,11.912699699401855,1,1.319000005722046,143.1540069580078
AFP,AFP,6579806,1.319972038269043,2444.0,0.06783333420753479,0.9724000096321106,55.5,63.40999984741211,9.88047981262207,2,6.88100004196167,139.36399841308594
AFP,AFP,1295546,5.138038635253906,11.890000343322754,0.4754166603088379,0.36230000853538513,10.760000228881836,5.400000095367432,1.9644900560379028,2,0.9068999886512756,132.23300170898438
AFP,AFP,6115466,20.0,12.350000381469727,0.5933333039283752,0.34790000319480896,10.329999923706055,9.22700023651123,4.931159973144531,1,0.7634000182151794,136.302001953125
PC,PC,10669994,2.8697266578674316,93.95999908447266,0.07716666907072067,0.879800021648407,11.949999809265137,13.25,2.7159900665283203,1,1.1339999437332153,132.3699951171875
AFP,AFP,6806632,0.5,63920.0,0.39654165506362915,0.6301000118255615,5443.0,4753.0,9.469189643859863,1,49.43000030517578,140.9759979248047
AFP,AFP,2583777,0.5,4167.0,0.125,0.10000000149011612,627.5999755859375,-1.0,0.9580910205841064,2,8.819000244140625,131.58200073242188
NTP,NTP,7362073,1.602816104888916,34.529998779296875,0.08129166811704636,0.699999988079071,9.670999526977539,13.100000381469727,0.5667840242385864,1,0.7258999943733215,131.83999633789062
AFP,AFP,5357470,1.319972038269043,249.6999969482422,0.025612499564886093,0.9248999953269958,15.050000190734863,17.690000534057617,2.172689914703369,2,1.8930000066757202,133.57000732421875
PC,PC,9391208,4.231344699859619,781.5,0.08358333259820938,0.09999000281095505,26.25,28.700000762939453,16.56060028076172,1,2.3970000743865967,133.4969940185547
PC,PC,5301750,2.3633148670196533,483.6000061035156,0.21562500298023224,0.7111999988555908,20.8700008392334,21.739999771118164,27.434499740600586,3,2.6670000553131104,145.1230010986328
PC,PC,12352520,5.138038635253906,732.5999755859375,0.04075416550040245,0.8999999761581421,13.979999542236328,19.020000457763672,4.577040195465088,1,1.6180000305175781,132.09500122070312
AFP,AFP,10816107,0.5,5957.0,0.1497916728258133,0.8812000155448914,425.29998779296875,441.20001220703125,2.1615700721740723,2,10.960000038146973,132.88699340820312
AFP,AFP,5372141,0.5,78.36000061035156,0.625,0.10040000081062317,13.579999923706055,8.168999671936035,6.489250183105469,1,1.9160000085830688,132.36900329589844
NTP,NTP,5437348,0.5,44.959999084472656,0.5737500190734863,0.9089999794960022,7.888999938964844,6.313000202178955,6.448200225830078,1,1.375,131.6280059814453
AFP,AFP,11874676,20.0,41.88999938964844,0.047083333134651184,0.9000999927520752,11.729999542236328,8.449999809265137,0.53364497423172,1,1.4670000076293945,131.91000366210938
NTP,NTP,5551779,0.7372382879257202,430.0,0.3816249966621399,0.4345000088214874,9.1850004196167,5.8379998207092285,500.97900390625,1,2.8959999084472656,176.58900451660156
